error_translation,error_roll,error_pitch,error_yaw,quality,uncertainty,predict_time,correct_time,reseed_time
0.046126,0.000000,0.000000,0.000000,0.250000,0.136324,0.000000,0.000000,0.000000
0.046126,0.000000,0.000000,0.000000,0.250000,0.136324,786917.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,786917.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,0.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,0.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,0.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,0.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,1696586.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,1101567.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,0.000000,0.000000,0.000000
0.047927,0.016705,0.000070,0.025109,0.250000,0.136324,0.000000,0.000000,0.000000
0.046042,-0.002225,-0.004060,-0.002544,0.250000,0.136324,0.000000,0.000000,0.000000
0.047885,0.015887,0.001040,0.023587,0.250000,0.136324,0.000000,0.000000,0.000000
0.047885,0.015887,0.001040,0.023587,0.250000,0.136324,1365673.000000,0.000000,0.000000
0.047885,0.015887,0.001040,0.023587,0.250000,0.136324,0.000000,0.000000,0.000000
0.047885,0.015887,0.001040,0.023587,0.250000,0.136324,0.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,0.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,1274076.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,1031143.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,0.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,0.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,0.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,1201270.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,0.000000,0.000000,0.000000
0.046136,0.000033,-0.000373,-0.000285,0.250000,0.136324,0.000000,0.000000,0.000000
