error_translation,error_roll,error_pitch,error_yaw,quality,uncertainty,predict_time,correct_time,reseed_time
0.052241,0.000000,0.000000,0.000000,0.250000,0.202850,0.000000,0.000000,0.000000
0.052241,0.000000,0.000000,0.000000,0.250000,0.202850,806676.000000,0.000000,0.000000
0.052241,0.000000,0.000000,0.000000,0.250000,0.202850,806676.000000,0.000000,0.000000
0.047372,0.000001,0.000002,0.000941,0.250000,0.202850,0.000000,0.000000,0.000000
0.013107,0.000002,0.000006,0.002723,0.250000,0.202850,0.000000,0.000000,0.000000
0.013107,0.000002,0.000006,0.002723,0.250000,0.202850,0.000000,0.000000,0.000000
0.019337,0.000002,0.000008,0.003291,0.250000,0.202850,1713546.000000,0.000000,0.000000
0.019337,0.000002,0.000008,0.003291,0.250000,0.202850,1713546.000000,0.000000,0.000000
0.019337,0.000002,0.000008,0.003291,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.019337,0.000002,0.000008,0.003291,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.019337,0.000002,0.000008,0.003291,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.019337,0.000002,0.000008,0.003291,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.039403,0.013579,-0.007757,0.006709,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.040630,-0.088434,-0.017022,-0.007012,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.040630,-0.088434,-0.017022,-0.007012,0.250000,0.202850,1223113.000000,0.000000,0.000000
0.040630,-0.088434,-0.017022,-0.007012,0.250000,0.202850,0.000000,0.000000,0.000000
0.040630,-0.088434,-0.017022,-0.007012,0.250000,0.202850,0.000000,0.000000,0.000000
0.040630,-0.088434,-0.017022,-0.007012,0.250000,0.202850,1551735.000000,0.000000,0.000000
0.032898,-0.088434,-0.017021,-0.006851,0.250000,0.202850,0.000000,0.000000,0.000000
0.032898,-0.088434,-0.017021,-0.006851,0.250000,0.202850,0.000000,0.000000,0.000000
0.032898,-0.088434,-0.017021,-0.006851,0.250000,0.202850,0.000000,0.000000,0.000000
0.032898,-0.088434,-0.017021,-0.006851,0.250000,0.202850,0.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,1373498.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,1373498.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,1142175.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,0.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,0.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,0.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,0.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,0.000000,0.000000,0.000000
0.016167,-0.088434,-0.017021,-0.006593,0.250000,0.202850,1041401.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,1041401.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,0.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,0.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,1752423.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,0.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,0.000000,0.000000,0.000000
0.016248,0.015345,-0.091314,0.019806,0.250000,0.202850,0.000000,0.000000,0.000000
0.014471,0.015345,-0.091314,0.019774,0.250000,0.202850,2037551.000000,0.000000,0.000000
0.014471,0.015345,-0.091314,0.019774,0.250000,0.202850,1503468.000000,0.000000,0.000000
0.007365,-0.002705,-0.022096,0.036805,0.250000,0.202850,1503468.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,0.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,0.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,0.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,0.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,1538204.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,924333.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,924333.000000,0.000000,0.000000
0.006382,-0.002705,-0.022096,0.036867,0.250000,0.202850,0.000000,0.000000,0.000000
0.007979,-0.002705,-0.022096,0.036797,0.250000,0.202850,0.000000,0.000000,0.000000
0.007979,-0.002705,-0.022096,0.036797,0.250000,0.202850,0.000000,0.000000,0.000000
0.007979,-0.002705,-0.022096,0.036797,0.250000,0.202850,1529124.000000,0.000000,0.000000
0.007979,-0.002705,-0.022096,0.036797,0.250000,0.202850,0.000000,0.000000,0.000000
0.007979,-0.002705,-0.022096,0.036797,0.250000,0.202850,0.000000,0.000000,0.000000
0.007979,-0.002705,-0.022096,0.036797,0.250000,0.202850,0.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,1462043.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,945153.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,945153.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,0.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,0.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,0.000000,0.000000,0.000000
0.011084,-0.002705,-0.022096,0.036784,0.250000,0.202850,1697235.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,0.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,0.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,0.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,803131.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,722398.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,722398.000000,0.000000,0.000000
0.014777,-0.002705,-0.022096,0.036770,0.250000,0.202850,0.000000,0.000000,0.000000
0.018946,-0.002705,-0.022097,0.036438,0.250000,0.202850,0.000000,0.000000,0.000000
0.016733,0.014913,-0.105455,0.016016,0.250000,0.202850,0.000000,0.000000,0.000000
0.016733,0.014913,-0.105455,0.016016,0.250000,0.202850,1024745.000000,0.000000,0.000000
0.016733,0.014913,-0.105455,0.016016,0.250000,0.202850,344190.000000,0.000000,0.000000
0.017972,0.015036,-0.010183,0.011037,0.250000,0.202850,344190.000000,0.000000,0.000000
0.017972,0.015036,-0.010183,0.011037,0.250000,0.202850,344190.000000,0.000000,0.000000
0.015424,0.015035,-0.010185,0.010104,0.250000,0.202850,0.000000,0.000000,0.000000
0.015424,0.015035,-0.010185,0.010104,0.250000,0.202850,462096.000000,0.000000,0.000000
0.017656,0.012937,-0.015393,0.014755,0.250000,0.202850,462096.000000,0.000000,0.000000
0.017656,0.012937,-0.015393,0.014755,0.250000,0.202850,0.000000,0.000000,0.000000
0.017656,0.012937,-0.015393,0.014755,0.250000,0.202850,0.000000,0.000000,0.000000
0.017656,0.012937,-0.015393,0.014755,0.250000,0.202850,0.000000,0.000000,0.000000
0.017656,0.012937,-0.015393,0.014755,0.250000,0.202850,412320.000000,0.000000,0.000000
0.015956,0.012936,-0.015396,0.013448,0.250000,0.202850,0.000000,0.000000,0.000000
0.015956,0.012936,-0.015396,0.013448,0.250000,0.202850,0.000000,0.000000,0.000000
0.015956,0.012936,-0.015396,0.013448,0.250000,0.202850,0.000000,0.000000,0.000000
0.015956,0.012936,-0.015396,0.013448,0.250000,0.202850,392933.000000,0.000000,0.000000
0.015956,0.012936,-0.015396,0.013448,0.250000,0.202850,274729.000000,0.000000,0.000000
0.015956,0.012936,-0.015396,0.013448,0.250000,0.202850,274729.000000,0.000000,0.000000
0.015380,0.012935,-0.015401,0.011371,0.250000,0.202850,0.000000,0.000000,0.000000
0.015380,0.012935,-0.015401,0.011371,0.250000,0.202850,0.000000,0.000000,0.000000
0.005917,0.011427,-0.014195,0.034304,0.250000,0.202850,0.000000,0.000000,0.000000
0.005917,0.011427,-0.014195,0.034304,0.250000,0.202850,309304.000000,0.000000,0.000000
0.005917,0.011427,-0.014195,0.034304,0.250000,0.202850,0.000000,0.000000,0.000000
0.005917,0.011427,-0.014195,0.034304,0.250000,0.202850,0.000000,0.000000,0.000000
0.005917,0.011427,-0.014195,0.034304,0.250000,0.202850,0.000000,0.000000,0.000000
0.007450,0.011425,-0.014202,0.031214,0.250000,0.202850,376104.000000,0.000000,0.000000
0.007450,0.011425,-0.014202,0.031214,0.250000,0.202850,341186.000000,0.000000,0.000000
0.016274,-0.034463,-0.015158,0.016729,0.250000,0.202850,341186.000000,0.000000,0.000000
0.016274,-0.034463,-0.015158,0.016729,0.250000,0.202850,0.000000,0.000000,0.000000
0.016274,-0.034463,-0.015158,0.016729,0.250000,0.202850,0.000000,0.000000,0.000000
0.016274,-0.034463,-0.015158,0.016729,0.250000,0.202850,0.000000,0.000000,0.000000
0.016274,-0.034463,-0.015158,0.016729,0.250000,0.202850,301740.000000,0.000000,0.000000
0.013565,-0.034465,-0.015166,0.013265,0.250000,0.202850,0.000000,0.000000,0.000000
0.005098,-0.007260,-0.008060,-0.015877,0.250000,0.202850,0.000000,0.000000,0.000000
0.005098,-0.007260,-0.008060,-0.015877,0.250000,0.202850,0.000000,0.000000,0.000000
0.005098,-0.007260,-0.008060,-0.015877,0.250000,0.202850,722452.000000,0.000000,0.000000
0.005098,-0.007260,-0.008060,-0.015877,0.250000,0.202850,244191.000000,0.000000,0.000000
0.011346,0.004214,-0.039529,0.032591,0.250000,0.202850,244191.000000,0.000000,0.000000
0.011346,0.004214,-0.039529,0.032591,0.250000,0.202850,0.000000,0.000000,0.000000
0.011515,0.004211,-0.039541,0.027438,0.250000,0.202850,0.000000,0.000000,0.000000
0.011515,0.004211,-0.039541,0.027438,0.250000,0.202850,0.000000,0.000000,0.000000
0.011515,0.004211,-0.039541,0.027438,0.250000,0.202850,862304.000000,0.000000,0.000000
0.011515,0.004211,-0.039541,0.027438,0.250000,0.202850,0.000000,0.000000,0.000000
0.011515,0.004211,-0.039541,0.027438,0.250000,0.202850,0.000000,0.000000,0.000000
0.011515,0.004211,-0.039541,0.027438,0.250000,0.202850,0.000000,0.000000,0.000000
0.013334,0.004208,-0.039555,0.021649,0.250000,0.202850,376455.000000,0.000000,0.000000
0.013334,0.004208,-0.039555,0.021649,0.250000,0.202850,322373.000000,0.000000,0.000000
0.007413,-0.003044,-0.022729,-0.013262,0.250000,0.202850,322373.000000,0.000000,0.000000
0.007413,-0.003044,-0.022729,-0.013262,0.250000,0.202850,0.000000,0.000000,0.000000
0.007413,-0.003044,-0.022729,-0.013262,0.250000,0.202850,0.000000,0.000000,0.000000
0.007413,-0.003044,-0.022729,-0.013262,0.250000,0.202850,0.000000,0.000000,0.000000
0.007413,-0.003044,-0.022729,-0.013262,0.250000,0.202850,570477.000000,0.000000,0.000000
