error_translation,error_roll,error_pitch,error_yaw,quality,uncertainty,predict_time,correct_time,reseed_time
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,358763.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,1458606.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1259589.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1087779.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1244199.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,702383.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,702383.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1551867.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1178884.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1148305.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1148305.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,1498664.000000,0.000000,0.000000
0.072207,-0.003449,-0.005449,0.028533,0.250000,0.190903,0.000000,0.000000,0.000000
0.072013,-0.003192,-0.006070,-0.006473,0.250000,0.190903,0.000000,0.000000,0.000000
0.072013,-0.003192,-0.006070,-0.006473,0.250000,0.190903,0.000000,0.000000,0.000000
0.072013,-0.003192,-0.006070,-0.006473,0.250000,0.190903,1206871.000000,0.000000,0.000000
0.072013,-0.003192,-0.006070,-0.006473,0.250000,0.190903,956650.000000,0.000000,0.000000
0.072013,-0.003192,-0.006070,-0.006473,0.250000,0.190903,0.000000,0.000000,0.000000
0.072013,-0.003192,-0.006070,-0.006473,0.250000,0.190903,0.000000,0.000000,0.000000
0.070875,0.000000,0.000000,0.000000,0.250000,0.190903,0.000000,0.000000,0.000000
0.071286,-0.001726,-0.000633,-0.004100,0.250000,0.190903,0.000000,0.000000,0.000000
0.071286,-0.001726,-0.000633,-0.004100,0.250000,0.190903,1240548.000000,0.000000,0.000000
0.071286,-0.001726,-0.000633,-0.004100,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1378577.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1054559.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1054559.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1276626.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1822072.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1066007.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1066007.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1289094.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,884516.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,884516.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,884516.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,2297713.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,2297713.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,994931.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1193074.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,735845.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,735845.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,1388730.000000,0.000000,0.000000
0.070996,-0.007951,-0.010666,-0.000908,0.250000,0.190903,0.000000,0.000000,0.000000
