error_translation,error_roll,error_pitch,error_yaw,quality,uncertainty,predict_time,correct_time,reseed_time
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,636359.000000,0.000000,0.000000
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,1057047.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,1057047.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,1447931.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,3781451.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,0.000000,0.000000,0.000000
0.075609,-0.000000,0.000000,0.000000,0.250000,0.197994,1540173.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1540173.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,934914.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,934914.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,2309426.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1820608.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1361153.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1361153.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070950,-0.029023,0.067314,0.027710,0.250000,0.197994,0.000000,0.000000,0.000000
0.070950,-0.029023,0.067314,0.027710,0.250000,0.197994,1024285.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1024285.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1292293.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,715134.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,715134.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1514963.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1178802.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1213516.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1213516.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1213516.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1604364.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,1604364.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,0.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,0.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,1947010.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,1177552.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,0.000000,0.000000,0.000000
0.070511,-0.028515,0.067066,0.025227,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1174874.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1121955.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1121955.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,947883.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1190730.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1646761.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1009120.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1009120.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,1359850.000000,0.000000,0.000000
0.070536,-0.028975,0.066381,0.025267,0.250000,0.197994,0.000000,0.000000,0.000000
0.070528,-0.028409,0.067224,0.025257,0.250000,0.197994,0.000000,0.000000,0.000000
0.070528,-0.028409,0.067224,0.025257,0.250000,0.197994,0.000000,0.000000,0.000000
0.070528,-0.028409,0.067224,0.025257,0.250000,0.197994,0.000000,0.000000,0.000000
0.070528,-0.028409,0.067224,0.025257,0.250000,0.197994,1587344.000000,0.000000,0.000000
0.070528,-0.028409,0.067224,0.025257,0.250000,0.197994,1331157.000000,0.000000,0.000000
