error_translation,error_roll,error_pitch,error_yaw,quality,uncertainty,predict_time,correct_time,reseed_time
0.049832,0.000000,0.000000,0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,0.000000,0.000000,0.250000,0.131121,342179.000000,0.000000,0.000000
0.049832,0.000000,0.000000,0.000000,0.250000,0.131121,342179.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,1035770.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,1035770.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,840052.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,840052.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,840052.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,1139812.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,805328.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,940494.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,0.000000,0.000000,0.000000
0.050138,-0.001232,0.000057,0.001992,0.250000,0.131121,0.000000,0.000000,0.000000
0.050138,-0.001232,0.000057,0.001992,0.250000,0.131121,0.000000,0.000000,0.000000
0.050138,-0.001232,0.000057,0.001992,0.250000,0.131121,722402.000000,0.000000,0.000000
0.049832,0.000000,-0.000000,-0.000000,0.250000,0.131121,722402.000000,0.000000,0.000000
