error_translation,error_roll,error_pitch,error_yaw,quality,uncertainty,predict_time,correct_time,reseed_time
0.151379,0.000000,0.000000,0.000000,0.250000,0.155291,0.000000,0.000000,0.000000
0.151379,0.000000,0.000000,0.000000,0.250000,0.155291,498192.000000,0.000000,0.000000
0.150900,0.013370,-0.000661,0.036981,0.250000,0.155291,498192.000000,0.000000,0.000000
0.150900,0.013370,-0.000661,0.036981,0.250000,0.155291,0.000000,0.000000,0.000000
0.147859,0.013370,-0.000660,0.036877,0.250000,0.155291,0.000000,0.000000,0.000000
0.150335,0.024060,0.001216,0.011540,0.250000,0.155291,0.000000,0.000000,0.000000
0.150335,0.024060,0.001216,0.011540,0.250000,0.155291,0.000000,0.000000,0.000000
0.150335,0.024060,0.001216,0.011540,0.250000,0.155291,684998.000000,0.000000,0.000000
0.150335,0.024060,0.001216,0.011540,0.250000,0.155291,480697.000000,0.000000,0.000000
0.149959,0.017626,-0.000675,0.032895,0.250000,0.155291,480697.000000,0.000000,0.000000
0.149959,0.017626,-0.000675,0.032895,0.250000,0.155291,0.000000,0.000000,0.000000
0.149959,0.017626,-0.000675,0.032895,0.250000,0.155291,0.000000,0.000000,0.000000
0.149959,0.017626,-0.000675,0.032895,0.250000,0.155291,0.000000,0.000000,0.000000
0.149959,0.017626,-0.000675,0.032895,0.250000,0.155291,466103.000000,0.000000,0.000000
0.147044,0.017626,-0.000675,0.032998,0.250000,0.155291,0.000000,0.000000,0.000000
0.147044,0.017626,-0.000675,0.032998,0.250000,0.155291,0.000000,0.000000,0.000000
0.147044,0.017626,-0.000675,0.032998,0.250000,0.155291,0.000000,0.000000,0.000000
0.147044,0.017626,-0.000675,0.032998,0.250000,0.155291,506558.000000,0.000000,0.000000
0.147044,0.017626,-0.000675,0.032998,0.250000,0.155291,392708.000000,0.000000,0.000000
0.153941,0.016498,0.007121,0.007571,0.250000,0.155291,392708.000000,0.000000,0.000000
0.153941,0.016498,0.007121,0.007571,0.250000,0.155291,0.000000,0.000000,0.000000
0.150863,0.016498,0.007121,0.007523,0.250000,0.155291,0.000000,0.000000,0.000000
0.152505,0.025705,0.025702,0.003935,0.250000,0.155291,0.000000,0.000000,0.000000
0.152505,0.025705,0.025702,0.003935,0.250000,0.155291,537217.000000,0.000000,0.000000
0.152505,0.025705,0.025702,0.003935,0.250000,0.155291,0.000000,0.000000,0.000000
0.152505,0.025705,0.025702,0.003935,0.250000,0.155291,0.000000,0.000000,0.000000
0.152505,0.025705,0.025702,0.003935,0.250000,0.155291,0.000000,0.000000,0.000000
0.149588,0.025705,0.025702,0.003906,0.250000,0.155291,521136.000000,0.000000,0.000000
0.149588,0.025705,0.025702,0.003906,0.250000,0.155291,584714.000000,0.000000,0.000000
0.149588,0.025705,0.025702,0.003906,0.250000,0.155291,0.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,0.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,0.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,0.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,576900.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,0.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,0.000000,0.000000,0.000000
0.146691,0.025705,0.025702,0.004103,0.250000,0.155291,0.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,457171.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,549079.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,549079.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,0.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,0.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,0.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,490218.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,0.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,0.000000,0.000000,0.000000
0.143696,0.025705,0.025702,0.004037,0.250000,0.155291,0.000000,0.000000,0.000000
